BIO F110,Biology Laboratory,Bio Lab,P1,Neeru Sood,307,M34
,,,P2,ADITYA SHARMA,307,M89
,,,P3,ADITYA SHARMA,307,T89
,,,P4,Mainak Dutta,307,W34
,,,P5,ADITYA SHARMA,307,W89
,,,P6,Neeru Sood,307,Th89
,,,P7,S Ramachandran,307,F34
BIO F111,General Biology,Biology,P1,Debostuti Ghosh,101,M1 T6 Th5 F5
,,,P2,Aditya Sharma,105,M1 T4 W1 Th5
,,,P3,NEERU SOOD,123,M1 T4 Th5 F5
BIOT F211,Biological Chemistry,Bio. chem,L1,MAINAK DUTTA,220,M1 T9 W6 Th9
BIOT F212,Microbiology,Microbio,L1,TRUPTI GOKHALE,220,M5 T8 W1 F2
,,,P1,TRUPTI GOKHALE,307,T345
,,,P2,TRUPTI GOKHALE,307,Th234
BIOT F213,Cell Biology,Cell bio,L1,NEERU SOOD,220,M6 T7 W5 F3
BIOT F215,Biophysics,Biophy,L1,DEBOSTUTI GHOSH,220,M3 W3 Th8 F1
BIOT F242,Intro to Bioinformatics,Intro to bioinfo,L1,ADITYA SHARMA,271,M5 W5 Th9
BIOT F266,Study Project,,1,NEERU SOOD,,
BIOT F311,Recombinant DNA Tech,Recomb. DNA,L1,PALLAB SANPUI,271,M2 T3 W1 Th2
BIOT F314,Ind Microbio & Biopro Engg,,L1,S RAMACHANDRAN,271,M9 T5
,,,P1,S Ramachandran/ Debostuti Ghosh,307,M67
,,,P2,S Ramachandran/ Debostuti Ghosh,307,W67
BIOT F343,Experiments in Biotech,Expt in biotech,P1,Mainak Dutta/ Pallab Sanpui,308,Th567
,,,P2,Mainak Dutta/ Pallab Sanpui,308,F345
BIOT F345,Proteomics,,L1,S RAMACHANDRAN,271,T7 W3 Th1
BIOT F366,Laboratory Project,Lab project,1,NEERU SOOD,,
BIOT F367,Laboratory Project,Lab project,1,NEERU SOOD,,
BIOT F376,Design Project,,1,NEERU SOOD,,
BIOT F377,Design Project,,1,NEERU SOOD,,
BIOT F424,Food Biotechnology,Food biotech,L1,TRUPTI GOKHALE,271,M3 T1 W4
BIOT F491,Special Project,,1,NEERU SOOD,,
BITS C791T,Teaching Practice I,,1,RAM KARTHIKEYAN,,
BITS C797T,PhD Seminar,,1,RAM KARTHIKEYAN,,
BITS C799T,PhD Thesis,,1,RAM KARTHIKEYAN,,
BITS E661,Research Methodology I,,1,RAM KARTHIKEYAN,,
BITS F110,Engineering Graphics,EG,L1,MEGHANA S CHARDE,101,Th3
,,,L2,Akshay Venkateshwaran,105,Th4
,,,L3,Meghana S Charde,123,T3
,,,P1,Meghana S Charde,MS5,M89
,,,P2,Meghana S Charde,MS5,W89
,,,P3,Deepthi Mary Dilip,MS5,Th34
BITS F111,Thermodynamics,Thermo,L1,SNEHAUNSHU CHOUDHURY,165,M2 T2 Th1 F3
,,,L2,Shashank Khurana,185,M2 T2 W1 Th1
,,,L3,Majid Hasan Khan,190,M2 W1 Th1 F5
BITS F112,Technical Report Writing,TRW,L1,SAYANTAN CHAKRABORTY,101,T5 Th2
,,,L2,Shazi S J,105,T5 Th2
,,,L3,Sayantan Chakraborty,101,W2 F1
,,,L4,Shazi S J,105,W2 F1
BITS F225,Environmental Studies,EvS,L1,Vijaya Ilango,228,W2 Th1 F4
,,,L2,RUSAL RAJ,220,M4 W2 F4
BITS F226,Soft Skills For Professionals,Soft skills for profs,L1,ROHIT,220,M7 T2 Th6
BITS F312,Neural Net & Fuzzy Logic,,L1,V KALAICHELVI,221,M5 W5 Th9
BITS F327,AI in Robotics,,L1,RAM KARTHIKEYAN,276,M6 W6 Th5
,,,L2,RAM KARTHIKEYAN,MS2,Th12
BITS F412,Practice School II,,1,A SOMASUNDARAM,,
BITS F416,Intro to Nano Science,,L1,K K SINGH,226,M5 W5 Th9
BITS F421T,Thesis,,1,K KUMAR,,
BITS F422T,Thesis,,1,K KUMAR,,
BITS F423T,Thesis,,1,K KUMAR,,
BITS F452,Blockchain Technology,Blockchain tech,L1,RAJA M,223,T6 W1 Th7
BITS F464,Machine Learning,ML,L1,PRANAV MOTHABHAU PAWAR,268,T6 W1 Th7
BITS G661,Research Methodology I,,1,RAM KARTHIKEYAN,,
CE F211,Mechanics of Solids,Mech. of solids,L1,AKSHAY VENKATESHWARAN,222,T6 W1 Th2 F3
CE F213,Surveying,,L1,MEGHANA S CHARDE,222,T5 W6 Th8 F5
,,,P1,Meghana S Charde,MF1,F12
CE F230,Civil Engineering Materials,Civ engg materials,L1,DEEPTHI MARY DILIP,222,M9 T1 W8 Th9
,,,P1,Vivek B Kartha,MG2,M56
CE F231,Fluid Mechanics,Fluid mech,L1,BRIJ KISHORE PANDEY,222,M4 T7 W9 Th4
CE F266,Study Project,,1,VIVEK B KARTHA,,
CE F312,Hydraulic Engineering,Hydraulic engg,L1,BRIJ KISHORE PANDEY,256,M7 T1 Th7 F3
,,,P1,Brij Kishore Pandey,MF4,W34
CE F313,Foundation Engineering,Foundation engg,L1,VIVEK B KARTHA,256,M3 T3 W1 Th6
CE F320,Design of Reinforced Concrete Structure,Design of reinf conc struc,L1,AKSHAY VENKATESHWARAN,256,M6 T8 W6 F5
CE F366,Laboratory Project,Lab project,1,VIVEK B KARTHA,,
CE F367,Laboratory Project,Lab project,1,VIVEK B KARTHA,,
CE F376,Design Project,,1,VIVEK B KARTHA,,
CE F377,Design Project,,1,VIVEK B KARTHA,,
CE F425,Airport Rail & Waterways,,L1,DEEPTHI MARY DILIP,256,M2 T6 F4
CE F434,Env Impact Assessment,,L1,VIVEK B KARTHA,256,W8 Th3 F2
CE F491,Special Project,,1,VIVEK B KARTHA,,
CHE F211,Chemical Process Calcula,,L1,NISHANT H PANDYA,245,M1 T8 W5 Th8
CHE F212,Fluid Mechanics,,L1,MAJID HASAN KHAN,219,T6 W9 Th4 F2
CHE F213,Chem Engg Thermodynamics,,L1,SOUVIK K PAUL,245,M8 T5 W3 F3
CHE F214,Engineering Chemistry,,L1,TEJAL PATEL,245,M5 T3 W8 Th2
CHE F266,Study Project,,1,B G PRAKASH KUMAR,,
CHE F311,Kinetics & Reactor Desig,,L1,B G PRAKASH KUMAR,226,M3 T1 W4 F2
CHE F312,Chemical Engg Lab I,,P1,SOUVIK K PAUL / Nishant H Pandya / B G Prakash Kumar / Murchana Changmai,340,W789
,,,P2,SOUVIK K PAUL / Nishant H Pandya / B G Prakash Kumar / Murchana Changmai,340,Th123
CHE F313,Separation Processes II,,L1,MURCHANA CHANGMAI,226,M7 T3 W1 Th6
CHE F314,Process Des Principles I,,L1,NISHANT H PANDYA,226,M4 T6 W3 F4
CHE F366,Laboratory Project,Lab project,1,B G PRAKASH KUMAR,,
CHE F367,Laboratory Project,Lab project,1,B G PRAKASH KUMAR,,
CHE F376,Design Project,,1,B G PRAKASH KUMAR,,
CHE F377,Design Project,,1,B G PRAKASH KUMAR,,
CHE F411,Envir Pollution Control,,L1,MURCHANA CHANGMAI,226,M2 T8 F5
CHE F421,Biochemical Engineering,,L1,SOUVIK K PAUL,226,M6 Th8 F1
CHE F491,Special Project,,1,B G PRAKASH KUMAR,,
CHEM F110,Chemistry Laboratory,Chem Lab,P1,Geetha Kannan,306,M34
,,,P2,Rusal Raj,306,M89
,,,P3,Rusal Raj,306,T34
,,,P4,VIJAYA ILANGO,306,T89
,,,P5,Geetha Kannan,306,W34
,,,P6,VIJAYA ILANGO,306,W89
CHEM F111,General Chemistry,Chemistry,L1,RUSAL RAJ,101,M6 T1 W6 F2
,,,L2,Vijaya Ilango,105,M6 T1 Th3 F2
,,,L3,Geetha Kannan,123,M6 T1 W6 F2
CHEM F266,Study Project,,1,R ROOP KUMAR,,
CHEM F366,Laboratory Project,Lab project,1,R ROOP KUMAR,,
CHEM F367,Laboratory Project,Lab project,1,R ROOP KUMAR,,
CHEM F376,Design Project,,1,R ROOP KUMAR,,
CHEM F377,Design Project,,1,R ROOP KUMAR,,
CHEM F491,Special Project,,1,R ROOP KUMAR,,
CS F111,Computer Programming,CP,L1,SAPNA SADHWANI,101,M5 W1 Th7 F4
,,,L2,Ashish Gupta,105,M5 T6 Th7 F2
,,,L3,Shikhar Verma,123,M5 W1 Th7 F4
,,,P1,Pramod Gaur,335,M34
,,,P2,Shikhar Verma,335,T89
,,,P3,Sapna Sadhwani,335,W34
CS F213,Object Oriented Prog,OOP,L1,SUJALA D SHETTY,210,T1 W6 Th5 F2
,,,L2,Pranav Mothabhau Pawar,257,T1 W6 Th5 F2
,,,L3,Sapna Sadhwani,229,T1 W6 Th5 F2
,,,L4,Shikhar Verma,205,T1 W6 Th5 F2
,,,P1,Sujala D Shetty,332,T34
,,,P2,Pranav Mothabhau Pawar,333,T34
,,,P3,Sapna Sadhwani,335,T34
,,,P4,Shikhar Verma,336,T34
CS F214,Logic in Computer Sc,Logic,L1,SIDDHALING UROLAGIN,210,M1 W2 Th1 F5
,,,L2,Ashish Gupta,257,M1 W2 Th1 F5
,,,L3,S Jeyalatha,229,M1 W2 Th1 F1
,,,L4,Siddhaling Urolagin,205,M3 W4 Th7 F3
CS F215,Digital Design,DD,L1,JAGADISH NAYAK,210,M2 T6 W1 Th2
,,,L2,R Swarnalatha,257,M2 T6 W1 Th2
,,,L3,Vilas H Gaidhane,229,M2 T6 W1 Th2
,,,L4,Shazia Hasan,205,M2 T6 W1 Th2
,,,P1,M B Srinivas,304,M34
,,,P2,Nilesh Goel,304,M89
,,,P3,Abdul Razak,304,T89
,,,P4,R Swarnalatha,304,W34
,,,P5,Jagadish Nayak,304,W89
,,,P6,M B Srinivas,304,Th34
,,,P7,Abdul Razak,304,Th89
,,,P8,R Swarnalatha,304,F34
CS F222,Discr Struc For Comp Sci,Discr Struc,L1,S Baskaran,210,M9 T7 Th9 F1
,,,L2,A SOMASUNDARAM,257,M9 T7 Th3 F1
,,,L3,A SOMASUNDARAM,334,M4 W7 Th9 F5
CS F266,Study Project,,1,B VIJAYAKUMAR,,
CS F301,Principles of Progg Lang,,L1,B VIJAYAKUMAR,269,W3 Th2
,,,L2,Pranav Mothabhau Pawar,268,W3 Th2
,,,L3,B Vijayakumar,267,Th6 F4
CS F320,Foundation of Data Science,Foundation of DS,L1,SIDDHALING UROLAGIN,268,M6 T7 Th3
CS F342,Computer Architecture,Comp arch,L1,TAMIZHARASAN PERIYASAMY,269,M3 T4 Th1 F5
,,,L2,Raja M,268,M3 T4 Th1 F5
,,,L3,Raja M,267,T1 W3 Th5 F3
,,,P1,Tamizharasan Periyasamy,332,W89
,,,P2,Raja M,335,W89
,,,P3,Angel A Jothi,336,W89
CS F351,Theory of Computation,Theory of comp,L1,ELAKKIYA RAJASEKAR,269,T1 W4 Th5 F3
,,,L2,S Jeyalatha,268,T1 W4 Th5 F3
,,,L3,Elakkiya Rajasekar,267,M3 T4 Th2 F5
CS F366,Laboratory Project,Lab project,1,B VIJAYAKUMAR,,
CS F367,Laboratory Project,Lab project,1,B VIJAYAKUMAR,,
CS F372,Operating Systems,OS,L1,ANGEL A JOTHI,269,T5 W2 Th6 F4
,,,L2,Pramod Gaur,268,T5 W2 Th6 F4
,,,L3,Angel A Jothi,267,M2 W4 Th1 F2
CS F376,Design Project,,1,B VIJAYAKUMAR,,
CS F377,Design Project,,1,B VIJAYAKUMAR,,
CS F407,Artificial Intelligence,AI,L1,SUJALA D SHETTY,269,M6 T7 Th3
CS F415,Data Mining,,L1,ANGEL A JOTHI,267,M6 T7 Th3
CS F425,Deep Learning,,L1,TAMIZHARASAN PERIYASAMY,267,T6 W1 Th7
CS F429,Natural Language Processing,NLP,L1,ELAKKIYA RAJASEKAR,269,T6 W1 Th7
CS F491,Special Project,,1,B VIJAYAKUMAR,,
ECE F211,Electrical Machines,,L1,R GOMATHI BHAVANI,228,M5 T1 Th9 F5
,,,P1,R Gomathi Bhavani,313,T34
ECE F212,Electromagnetic Theo,EM theory,L1,G AMARANATH,228,M6 T7 Th8 F3
ECE F214,Electronic Devices,,L1,M B SRINIVAS,228,M1 T8 W5 F2
ECE F215,Digital Design,DD,L1,JAGADISH NAYAK,210,M2 T6 W1 Th2
,,,L2,R Swarnalatha,257,M2 T6 W1 Th2
,,,L3,Vilas H Gaidhane,229,M2 T6 W1 Th2
,,,L4,Shazia Hasan,205,M2 T6 W1 Th2
,,,P1,M B Srinivas,304,M34
,,,P2,Nilesh Goel,304,M89
,,,P3,Abdul Razak,304,T89
,,,P4,R Swarnalatha,304,W34
,,,P5,Jagadish Nayak,304,W89
,,,P6,M B Srinivas,304,Th34
,,,P7,Abdul Razak,304,Th89
,,,P8,R Swarnalatha,304,F34
ECE F266,Study Project,,1,V KALAICHELVI,,
ECE F311,Communication Systems,Comm systems,L1,JAGADISH NAYAK,221,M6 T1 W3 F3
,,,P1,T G Thomas,330,T567
ECE F314,EM Fields & Micro Engg,,L1,ABDUL RAZAK,223,M9 W7 Th2 F4
ECE F366,Laboratory Project,Lab project,1,V KALAICHELVI,,
ECE F367,Laboratory Project,Lab project,1,V KALAICHELVI,,
ECE F376,Design Project,,1,V KALAICHELVI,,
ECE F377,Design Project,,1,V KALAICHELVI,,
ECE F434,Digital Signal Process,DSP,L1,SHAZIA HASAN,223,M8 T4 W4 F5
,,,P1,Shazia Hasan,303,Th567
ECE F472,Satellite Communication,,L1,ABDUL RAZAK,221,M3 W1 F2
ECE F491,Special Project,,1,V KALAICHELVI,,
ECON F211,Principles of Economics,PoE,L1,SARTAJ RASOOL,334,M5 T5 W5
EEE F111,Electrical Sciences,ES,L1,T G THOMAS,165,M1 T9 W5 Th2
,,,L2,Sunil Thomas,185,M1 T6 W5 F2
,,,L3,T G Thomas,190,M8 T2 W3 F2
EEE F211,Electrical Machines,,L1,R GOMATHI BHAVANI,228,M5 T1 Th9 F5
,,,P1,R Gomathi Bhavani,313,T34
EEE F212,Electromagnetic Theo,,L1,G AMARANATH,228,M6 T7 Th8 F3
EEE F214,Electronic Devices,,L1,M B SRINIVAS,228,M1 T8 W5 F2
EEE F215,Digital Design,DD,L1,JAGADISH NAYAK,210,M2 T6 W1 Th2
,,,L2,R Swarnalatha,257,M2 T6 W1 Th2
,,,L3,Vilas H Gaidhane,229,M2 T6 W1 Th2
,,,L4,Shazia Hasan,205,M2 T6 W1 Th2
,,,P1,M B Srinivas,304,M34
,,,P2,Nilesh Goel,304,M89
,,,P3,Abdul Razak,304,T89
,,,P4,R Swarnalatha,304,W34
,,,P5,Jagadish Nayak,304,W89
,,,P6,M B Srinivas,304,Th34
,,,P7,Abdul Razak,304,Th89
,,,P8,R Swarnalatha,304,F34
