COM COD,COURSE NO.,COURSE TITLE,"CREDIT
L P U",SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
2420,AN F311,PRINCIPLES OF AERODYNAMICS,3 0 3,1,MAJID H KHAN,276,M6 T2 F1,03.04.2024 FN,04.06.2024 AN
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,,NEERU SOOD,,,,
,,,,1,Aditya Sharma,307,M34,,
,,,,2,Neeru Sood,307,M89,,
,,,,3,Debostuti Ghosh,307,T34,,
,,,,4,Neeru Sood,307,W12,,
,,,,5,Aditya Sharma,307,Th34,,
,,,,6,Aditya Sharma,307,F12,,
,,,,7,Neeru Sood,307,F34,,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,,DEBOSTUTI GHOSH,,,01.04.2024 FN,04.06.2024 FN
,,,,1,Neeru Sood,101,M2 T2 Th5 F1,,
,,,,2,Mainak Dutta,105,T2 W1 Th5 F4,,
,,,,3,Debostuti Ghosh,123,T1 W4 Th5 F4,,
1359,BIOT F241,GENETIC ENGINEERING TECH,1 3 4,1,PALLAB SANPUI,220,Th4,29.03.2024 FN,29.05.2024 FN
,,Practical,,1,Pallab Sanpui,307,T789,,
,,,,1,Pallab Sanpui,307,W345,,
,,,,2,Arun Kumar Upadhyay,307,W789,,
,,,,2,Arun Kumar Upadhyay,307,Th789,,
1103,BIOT F243,GENETICS,3 0 3,1,ADITYA SHARMA,220,M8 T3 W2 Th1,01.04.2024 AN,31.05.2024 FN
1361,BIOT F244,INSTRU METHODS OF ANALYSIS,1 3 4,,MAINAK DUTTA,,,03.04.2024 AN,03.06.2024 AN
,,,,1,S Ramachandran,220,M2,,
,,Practical,,1,Mainak Dutta/S Ramachandran,308,T789,,
,,,,1,Mainak Dutta/S Ramachandran,308,W345,,
,,,,2,Trupti Gokhale/VF,308,W789,,
,,,,2,Trupti Gokhale/VF,308,Th789,,
1360,BIOT F245,INTRO TO ENVIRON BIOTECH,3 0 3,1,TRUPTI GOKHALE,220,M3 T5 Th2 F1,04.04.2024 AN,05.06.2024 AN
1845,BIOT F266,STUDY PROJECT,3,1,NEERU SOOD,,,,
1364,BIOT F342,IMMUNOLOGY,3 0 3,1,ARUN KUMAR UPADHYAY,271,M2 T7 W2 Th1,29.03.2024 FN,29.05.2024 AN
1366,BIOT F344,DOWNSTREAM PROCESSING,2 1 3,1,New Faculty,271,M9 F3,01.04.2024 AN,31.05.2024 FN
,,Practical,,1,New Faculty,305,M45,,
,,,,1,New Faculty,305,Th34,,
1843,BIOT F366,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1842,BIOT F367,LABORATORY PROJECT,3,1,NEERU SOOD,,,,
1841,BIOT F376,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1840,BIOT F377,DESIGN PROJECT,3,1,NEERU SOOD,,,,
1374,BIOT F416,INTRO TO PHARMA BIOTECH,3 0 3,1,S RAMACHANDRAN,271,M7 W7 Th9,01.04.2024 FN,30.05.2024 FN
1433,BIOT F417,BIOMOLECULAR MODELING,3 0 3,1,DEBOSTUTI GHOSH,210,M7 W7 Th9,01.04.2024 FN,30.05.2024 FN
1378,BIOT F423,DRUG DESIGN AND DELIVERY,3 0 3,1,New Faculty,271,M1 T3 F4,03.04.2024 FN,04.06.2024 AN
1377,BIOT F422,NANOBIOTECHNOLOGY,3 0 3,1,PALLAB SANPUI,223,M1 T3 Th2,03.04.2024 FN,04.06.2024 AN
