COM COD,COURSE NO.,COURSE TITLE,CREDIT L P U,SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
2422,AN F313,FLIGHT MECHANICS & CONTROL,3 0 3,1,MAJID H KHAN,221,M6 F45,04.04.2025 FN,04.06.2025 FN
2693,BBA F121,BUSINESS ETHIC & CORP SOC RESP,3 0 3,1,ANURAG SINGH,183,M89 W89,08.04.2025 FN,03.06.2025 FN
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,,NEERU SOOD,,,,
,,,,1,Lucy Cherian,307,M12,,
,,,,2,Piyali Maity,307,M34,,
,,,,3,Neeru Sood,307,M56,,
,,,,4,Jayasree Rajashekaran,307,T12,,
,,,,5,Debostuti Ghosh,307,T89,,
,,,,6,Lucy Cherian,307,Th23,,
,,,,7,Akansha Sood,307,Th45,,
,,,,8,Aditya Sharma,307,F45,,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,,DEBOSTUTI GHOSH,,,09.04.2025 FN,02.06.2025 FN
,,,,1,Sugandha Asthana,101,Th45 F45,,
,,,,2,Neeru Sood,105,T45 Th78,,
,,,,3,Aditya Sharma,123,M12 T8 Th7,,
,,,,4,Debostuti Ghosh,165,W23 Th78,,
1359,BIOT F241,GENETIC ENGINEERING TECH,1 3 4,1,PALLAB SANPUI,223,F5,02.04.2025 AN,26.05.2025 AN
,,Practical,,1,Pallab Sanpui,306,T456 W789,,
,,,,2,Sugandha Asthana,307,T456 W789,,
1103,BIOT F243,GENETICS,3 0 3,1,ADITYA SHARMA,223,T23 Th12,03.04.2025 AN,29.05.2025 AN
1361,BIOT F244,INSTRU METHODS OF ANALYSIS,1 3 4,,TRUPTI GOKHALE,,,07.04.2025 AN,28.05.2025 AN
,,,,1,Shrikant Charde,223,F1,,
,,Practical,,1,S Ramachandran,305,W234 Th789,,
,,,,2,Trupti Gokhale,307,W234 Th789,,
,,,,3,Mainak Dutta,308,W234 Th789,,
1360,BIOT F245,INTRO TO ENVIRON BIOTECH,3 0 3,1,NEERU SOOD,223,M12 F23,08.04.2025 AN,02.06.2025 AN
1845,BIOT F266,STUDY PROJECT,3,1,MAINAK DUTTA,,,,
1364,BIOT F342,IMMUNOLOGY,3 0 3,1,MAINAK DUTTA,205,T12 F45,02.04.2025 AN,26.05.2025 AN
1366,BIOT F344,DOWNSTREAM PROCESSING,2 1 3,1,S RAMACHANDRAN,205,Th12,07.04.2025 AN,28.05.2025 AN
,,Practical,,1,Trupti Gokhale,307,M89,,
,,,,2,S Ramachandran,307,F23,,
1373,BIOT F347,IMMUNOTECHNOLOGY,3 0 3,1,TRUPTI GOKHALE,205,M12 T3,09.04.2025 FN,27.05.2025 AN
1843,BIOT F366,LABORATORY PROJECT,3,1,MAINAK DUTTA,,,,
1842,BIOT F367,LABORATORY PROJECT,3,1,MAINAK DUTTA,,,,
1841,BIOT F376,DESIGN PROJECT,3,1,MAINAK DUTTA,,,,
1840,BIOT F377,DESIGN PROJECT,3,1,MAINAK DUTTA,,,,
1433,BIOT F417,BIOMOLECULAR MODELING,3 0 3,1,DEBOSTUTI GHOSH,335,M12 T3,09.04.2025 FN,27.05.2025 AN
1377,BIOT F422,NANOBIOTECHNOLOGY,3 0 3,1,PALLAB SANPUI,223,W12 Th6,04.04.2025 FN,04.06.2025 FN
1378,BIOT F423,DRUG DESIGN AND DELIVERY,3 0 3,1,SHRIKANT CHARDE,205,T45 Th6,04.04.2025 FN,04.06.2025 FN
1844,BIOT F491,SPECIAL PROJECT,3,1,MAINAK DUTTA,,,,
596,BITS C791T,TEACHING PRACTICE I,1,1,S RAMACHANDRAN,,,,
520,BITS C797T,PH D SEMINAR,2,1,S RAMACHANDRAN,,,,
553,BITS C799T,PH D THESIS,40,1,S RAMACHANDRAN,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,S RAMACHANDRAN,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,,MEGHANA S CHARDE,,,08.04.2025 FN,04.06.2025 FN
,,,,1,Meghana S Charde,101,Th1,,
,,,,2,Deepthi Mary Dilip,105,W1,,
,,,,3,Meghana S Charde,123,M9,,
,,,,4,Akshay Venkateshwaran,165,W8,,
,,Practical,,1,Meghana S Charde,336,M34,,
,,,,2,Deepthi Mary Dilip,336,T23,,
,,,,3,Meghana S Charde,336,W23,,
,,,,4,Akshay Venkateshwaran,336,Th12,,
1004,BITS F111,THERMODYNAMICS,3 0 3,,SNEHAUNSHU CHOUDHURY,,,03.04.2025 FN,28.05.2025 FN
,,,,1,Shashank Khurana,184,M5 W78 Th2,,
,,,,2,Majid H Khan,185,M3 T89 Th8,,
,,,,3,Ravindra G Bhardwaj,189,M7 W7 Th45,,
,,,,4,Snehaunshu Choudhury,190,T23 W78,,
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,,SAYANTAN CHAKRABORTY,,,07.04.2025 FN,26.05.2025 FN
,,,,1,Shazi S J,101,M4 T9,,
,,,,2,Sayantan Chakraborty,105,Th12,,
,,,,3,Shazi S J,123,Th89,,
,,,,4,Sayantan Chakraborty,165,T45,,
2731,BITS F121,INTRODUCTION TO PYTHON,3 0 3,1,YUSRA QAMAR,183,W56 Th23,03.04.2025 FN,28.05.2025 FN
2732,BITS F122,INTRODUCTION TO SPREADSHEET ANALYSIS,2 0 2,1,RAJA SACHIDANANDAM,183,M56 T8,02.04.2025 FN,26.05.2025 FN
2733,BITS F123,INTRODUCTION TO ENGINEERING,3 0 3,1,CHAKRADHAR IYYUNNI,183,M23 F23,02.04.2025 AN,30.05.2025 FN
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,,VIJAYA ILANGO,,,04.04.2025 FN,04.06.2025 FN
,,,,1,Dipika Barbadikar,267,T6 W34,,
,,,,2,Vijay Lakshmi Mishra,268,T6 W34,,
,,,,3,Dipika Barbadikar,269,W7 F12,,
,,,,4,Vijay Lakshmi Mishra,257,W7 F12,,
,,,,5,Vijaya Ilango,183,W23 Th5,,
2303,BITS F226,SOFT SKILLS FOR PROFESSIONALS,3 0 3,1,JISS VARGHESE MATHEW,223,M89 Th5,09.04.2025 AN,03.06.2025 AN
1334,BITS F312,NEURAL NET & FUZZY LOGIC,3 0 3,1,V KALAICHELVI,222,W5 Th89,07.04.2025 FN,30.05.2025 FN
1785,BITS F330,MANAGERIAL SKILLS,2*,1,JISS VARGHESE MATHEW,271,W89,02.04.2025 FN,29.05.2025 FN
1592,BITS F412,PRACTICE SCHOOL II,20,1,GOMATHI BHAVANI,,,,
1808,BITS F416,INTRO TO NANOSCIENCE,3 0 3,1,K K SINGH,271,T89 W6,03.04.2025 FN,03.06.2025 FN
1593,BITS F421T,THESIS,16,1,A SOMASUNDARAM,,,,
1617,BITS F423T,THESIS,9,1,A SOMASUNDARAM,,,,
1629,BITS F441T,SEMINAR,1,1,S RAMACHANDRAN,,,,
1338,BITS F463,CRYPTOGRAPHY,3 0 3,1,RAJA M,222,T34 F5,04.04.2025 FN,04.06.2025 FN
1339,BITS F464,MACHINE LEARNING,3 0 3,1,PRANAV M PAWAR,210,T34 F5,04.04.2025 FN,04.06.2025 FN
1191,CE F241,ANALYSIS OF STRUCTURES,3 0 3,1,VIVEK B KARTHA,219,M12 W34,02.04.2025 AN,26.05.2025 AN
1192,CE F242,CONSTRUCTION PLAN & TECH,3 0 3,1,MEGHANA S CHARDE,219,T12 F45,03.04.2025 AN,29.05.2025 AN
1193,CE F243,SOIL MECHANICS,3 1 4,1,VIVEK B KARTHA,219,T34 Th89,07.04.2025 AN,28.05.2025 AN
,,Practical,,1,Deepthi Mary Dilip,MF5,W67,,
1194,CE F244,HIGHWAY ENGINEERING,3 1 4,1,DEEPTHI MARY DILIP,219,Th12 F23,08.04.2025 AN,02.06.2025 AN
,,Practical,,1,Deepthi Mary Dilip,MF5,T67,,
1652,CE F266,STUDY PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
2282,CE F321,ENGINEERING HYDROLOGY,3 0 3,1,BRIJ KISHORE PANDEY,276,T12 F45,02.04.2025 AN,26.05.2025 AN
1199,CE F342,WATER & WASTEWATER TREAT,3 1 4,1,BRIJ KISHORE PANDEY,276,W23 Th12,03.04.2025 AN,02.06.2025 AN
,,Practical,,1,Brij Kishore Pandey,306,Th56,,
1200,CE F343,DESIGN OF STEEL STRUCTURES,3 0 3,1,AKSHAY VENKATESHWARAN,276,M12 T34,07.04.2025 AN,28.05.2025 AN
1667,CE F366,LABORATORY PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1686,CE F376,DESIGN PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1223,CE F415,DESIGN OF PRESTRESSED CONCRETE STRUCTURES,3 0 3,1,AKSHAY VENKATESHWARAN,276,M6 F23,09.04.2025 FN,27.05.2025 AN
1236,CE F434,ENVIRONMENTAL IMPACT ASSESSMENT,3 0 3,1,VIVEK B KARTHA,276,M89 Th3,04.04.2025 FN,04.06.2025 FN
1711,CE F491,SPECIAL PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1180,CHE F241,HEAT TRANSFER,3 0 3,1,NISHANT H PANDYA,245,T12 F34,02.04.2025 AN,26.05.2025 AN
1181,CHE F242,NUM METHOD FOR CHEM ENGG,3 0 3,1,SOUVIK K PAUL,245,W78 F12,03.04.2025 AN,29.05.2025 AN
1182,CHE F243,MATERIAL SCIENCE & ENGG,3 0 3,1,MURCHANA CHANGMAI,245,T56 W45,07.04.2025 AN,28.05.2025 AN
1183,CHE F244,SEPARATION PROCESSES I,3 0 3,1,B G PRAKASH KUMAR,245,M12 W12,08.04.2025 AN,02.06.2025 AN
1653,CHE F266,STUDY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1188,CHE F341,CHEMICAL ENGG LAB II,0 3 3,1,NISHANT H PANDYA/ Murchana Changmai/ B G Prakashkumar/ Souvik K Paul,329,M789,,
,,,,1,NISHANT H PANDYA/ Murchana Changmai/ B G Prakashkumar/ Souvik K Paul,331,Th345,,
1189,CHE F342,PROCESS DYN & CONTROL,3 0 3,1,R SWARNALATHA,256,W34 F12,03.04.2025 AN,02.06.2025 AN
1190,CHE F343,PROCESS DES PRINCIPLE II,3 0 3,1,NISHANT H PANDYA,256,M23 T56,07.04.2025 AN,28.05.2025 AN
1668,CHE F366,LABORATORY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1738,CHE F367,LABORATORY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1687,CHE F376,DESIGN PROJECT,3,1,MURCHANA CHANGMAI,,,,
1754,CHE F377,DESIGN PROJECT,3,1,MURCHANA CHANGMAI,,,,
1206,CHE F411,ENVIR POLLUTION CONTROL,3 0 3,1,MURCHANA CHANGMAI,256,T12 F4,04.04.2025 FN,04.06.2025 FN
1201,CHE F414,TRANSPORT PHENOMENA,3 0 3,1,SOUVIK K PAUL,256,W12 F5,09.04.2025 FN,27.05.2025 AN
1209,CHE F491,SPECIAL PROJECT,3,1,MURCHANA CHANGMAI,,,,
1006,CHEM F110,CHEMISTRY LABORATORY,0 2 1,,VIJAYA ILANGO,,,,
,,,,1,Dipika Barbadikar,306,M34,,
,,,,2,Dipika Barbadikar,306,M89,,
,,,,3,Vijay Lakshmi Mishra,306,T23,,
,,,,4,Vijay Lakshmi Mishra,306,T89,,
,,,,5,Rusal Raj,306,W34,,
,,,,6,Vijay Lakshmi Mishra,306,Th23,,
,,,,7,Dipika Barbadikar,306,Th89,,
,,,,8,Vijaya Ilango,306,F45,,
1007,CHEM F111,GENERAL CHEMISTRY,3 0 3,1,RUSAL RAJ,101,M3 T4 W78,03.04.2025 FN,28.05.2025 FN
,,,,2,Geetha Kannan,105,M12 F45,,
,,,,3,Vijaya Ilango,123,T34 W7 F1,,
,,,,4,Rusal Raj,165,M7 Th1 F12,,
1654,CHEM F266,STUDY PROJECT,3,1,K K SINGH,,,,
1669,CHEM F366,LABORATORY PROJECT,3,1,K K SINGH,,,,
1739,CHEM F367,LABORATORY PROJECT,3,1,K K SINGH,,,,
1688,CHEM F376,DESIGN PROJECT,3,1,K K SINGH,,,,
1755,CHEM F377,DESIGN PROJECT,3,1,K K SINGH,,,,
1713,CHEM F491,SPECIAL PROJECT,3,1,K K SINGH,,,,
1008,CS F111,COMPUTER PROGRAMMING,3 1 4,,SAPNA SADHWANI,,,02.04.2025 FN,03.06.2025 FN
,,,,1,Tojo Mathew,101,M78 T5 W5,,
,,,,2,Neena Susan,105,M34 W78,,
,,,,3,Shalakha,123,Th34 F45,,
,,,,4,Sapna Sadhwani,165,M12 W45,,
,,Practical,,1,Shalakha,333,M89,,
,,,,2,Neena Susan,333,T23,,
,,,,3,Shalakha,333,W89,,
,,,,4,Sapna Sadhwani,333,Th34,,
1094,CS F211,DATA STRUCTURES & ALGO,3 1 4,,TOJO MATHEW,,,08.04.2025 AN,02.06.2025 AN
,,,,1,Ashish Gupta,267,Th12 F12,,
,,,,2,Neena Susan,268,W12 Th34,,
,,,,3,Tojo Mathew,269,W12 Th34,,
,,,,4,Sujala D Shetty,257,M56 W12,,
,,Practical,,1,Shalakha,333,M34,,
,,,,2,Neena Susan,333,T89,,
,,,,3,Ashish Gupta,333,W56,,
,,,,4,Sujala D Shetty,333,Th89,,
1095,CS F212,DATABASE SYSTEMS,3 1 4,,B VIJAYAKUMAR,,,03.04.2025 AN,29.05.2025 AN
,,,,1,Tamizharasan Periyasamy,267,M56 Th89,,
,,,,2,Sapna Sadhwani,268,M56 F12,,
,,,,3,Shalakha,269,T34 W34,,
,,,,4,B Vijayakumar,257,T34 Th23,,
,,Practical,,1,B Vijayakumar,335,M34,,
,,,,2,Sapna Sadhwani,335,T89,,
,,,,3,Tamizharasan Periyasamy,335,W56,,
,,,,4,Shalakha,335,Th89,,
1313,CS F241,MICROPROC & INTERFACING,3 1 4,,SHAZIA HASAN,,,02.04.2025 AN,26.05.2025 AN
,,,,1,Shazia Hasan,267,T34 Th34,,
,,,,2,Jagadish Nayak,268,T89 Th12,,
,,,,3,Ananth Bhardwaj,269,M56 Th12,,
,,,,4,Ananth Bhardwaj,257,T12 W34,,
,,,,5,Jagadish Nayak,228,T23 Th78,,
,,Practical,,1,Jagadish Nayak,332,M34,,
,,,,2,Vilas H Gaidhane,332,T34,,
,,,,3,Shazia Hasan,332,T89,,
,,,,4,Adarsh Venkataraman,332,W34,,
,,,,5,Ananth Bhardwaj,332,W89,,
,,,,6,Nilesh Goel,332,Th89,,
1655,CS F266,STUDY PROJECT,3,1,SUJALA D SHETTY,,,,
1320,CS F303,COMPUTER NETWORKS,3 1 4,,RAJA M,,,02.04.2025 AN,26.05.2025 AN
,,,,1,Pranav M Pawar,210,M12 T5 Th6,,
,,,,2,Raja M,222,W3 Th12 F3,,
,,,,3,Mithun Mukherjee,226,T12 W3 Th1,,
,,,,4,Pranav M Pawar,229,M89 F12,,
,,Practical,,1,Raja M,336,M89,,
,,,,2,Mithun Mukherjee,336,T56,,
,,,,3,Raja M,336,Th56,,
,,,,4,Mithun Mukherjee,336,F34,,
2438,CS F316,QUANTUM ARCHITECTURE AND PROGRAMMING,3 0 3,1,TAMIZHARASAN PERIYASAMY,226,T34 F5,04.04.2025 FN,04.06.2025 FN
2266,CS F320,FOUNDATION OF DATA SCIENCE,3 0 3,1,ASHISH GUPTA,210,M34 Th4,09.04.2025 FN,27.05.2025 AN
1318,CS F363,COMPILER CONSTRUCTION,2 1 3,,ANGEL ARUL JOTHI,,,03.04.2025 AN,02.06.2025 AN
,,,,1,Angel Arul Jothi,210,T56 Th1,,
,,,,2,Hussain Chowdhury,222,M12 W4,,
,,,,3,Hussain Chowdhury,226,M6 T5 Th2,,
,,,,4,Angel Arul Jothi,229,T12 Th7,,
,,Practical,,1,Angel Arul Jothi,335,M89,,
,,,,2,Elakkiya Rajasekar,335,T56,,
,,,,3,Hussain Chowdhury,335,Th56,,
,,,,4,B Vijayakumar,335,F12,,
1319,CS F364,DESIGN & ANAL OF ALGO,3 0 3,,ELAKKIYA RAJASEKAR,,,08.04.2025 AN,29.05.2025 AN
,,,,1,Hussain Chowdhury,210,T12 F34,,
,,,,2,Elakkiya Rajasekar,222,M89 F12,,
,,,,3,Jeyalatha,226,M1 T7 F1 F4,,
,,,,4,Elakkiya Rajasekar,229,W34 Th12,,
1670,CS F366,LABORATORY PROJECT,3,1,SUJALA D SHETTY,,,,
1740,CS F367,LABORATORY PROJECT,3,1,SUJALA D SHETTY,,,,
1689,CS F376,DESIGN PROJECT,3,1,SUJALA D SHETTY,,,,
1756,CS F377,DESIGN PROJECT,3,1,SUJALA D SHETTY,,,,
1327,CS F401,MULTIMEDIA COMPUTING,3 0 3,1,MITHUN MUKHERJEE,222,M34 Th4,09.04.2025 FN,27.05.2025 AN
1333,CS F407,ARTIFICIAL INTELLIGENCE,3 0 3,1,SUJALA D SHETTY,229,T34 F5,04.04.2025 FN,04.06.2025 FN
1322,CS F415,DATA MINING,3 0 3,1,ANGEL ARUL JOTHI,226,M34 Th4,09.04.2025 FN,27.05.2025 AN
2444,CS F429,NATURAL LANGUAGE PROCESSING,3 0 3,1,ELAKKIYA RAJASEKAR,229,M34 Th4,09.04.2025 FN,27.05.2025 AN
1714,CS F491,SPECIAL PROJECT,3,1,SUJALA D SHETTY,,,,
1384,ECE F241,MICROPROC & INTERFACING,3 1 4,,SHAZIA HASAN,,,02.04.2025 AN,26.05.2025 AN
,,,,1,Shazia Hasan,267,T34 Th34,,
,,,,2,Jagadish Nayak,268,T89 Th12,,
,,,,3,Ananth Bhardwaj,269,M56 Th12,,
,,,,4,Ananth Bhardwaj,257,T12 W34,,
,,,,5,Jagadish Nayak,228,T23 Th78,,
,,Practical,,1,Jagadish Nayak,332,M34,,
,,,,2,Vilas H Gaidhane,332,T34,,
,,,,3,Shazia Hasan,332,T89,,
,,,,4,Adarsh Venkataraman,332,W34,,
,,,,5,Ananth Bhardwaj,332,W89,,
,,,,6,Nilesh Goel,332,Th89,,
1385,ECE F242,CONTROL SYSTEMS,3 0 3,1,VILAS H GAIDHANE,228,T78 Th12,03.04.2025 AN,29.05.2025 AN
1386,ECE F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M12 F45,07.04.2025 AN,28.05.2025 AN
1387,ECE F244,MICROELECTRONIC CIRCUITS,3 0 3,1,NILESH GOEL,228,M34 W89,08.04.2025 AN,02.06.2025 AN
1701,ECE F266,STUDY PROJECT,3,1,ABDUL RAZAK,,,,
1391,ECE F341,ANALOG ELECTRONICS,3 1 4,1,VILAS H GAIDHANE,271,M12 W34,02.04.2025 AN,26.05.2025 AN
,,Practical,,1,V Kalaichelvi,304,F345,,
1595,ECE F343,COMMUNICATION NETWORKS,3 0 3,1,ABDUL RAZAK,271,T12 F12,03.04.2025 AN,02.06.2025 AN
1390,ECE F344,INFO THEORY & CODING,3 0 3,1,ABDUL RAZAK,271,M89 T56,07.04.2025 AN,28.05.2025 AN
1702,ECE F366,LABORATORY PROJECT,3,1,ABDUL RAZAK,,,,
1705,ECE F367,LABORATORY PROJECT,3,1,ABDUL RAZAK,,,,
1703,ECE F376,DESIGN PROJECT,3,1,ABDUL RAZAK,,,,
1706,ECE F377,DESIGN PROJECT,3,1,ABDUL RAZAK,,,,
1393,ECE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,271,M34 Th5,09.04.2025 FN,27.05.2025 AN
1704,ECE F491,SPECIAL PROJECT,3,1,ABDUL RAZAK,,,,
2569,ECOM F211,DATA STRUCTURES & ALGO,3 1 4,,TOJO MATHEW,,,08.04.2025 AN,02.06.2025 AN
,,,,1,Ashish Gupta,267,Th12 F12,,
,,,,2,Neena Susan,268,W12 Th34,,
,,,,3,Tojo Mathew,269,W12 Th34,,
,,,,4,Sujala D Shetty,257,M56 W12,,
,,Practical,,1,Shalakha,333,M34,,
,,,,2,Neena Susan,333,T89,,
,,,,3,Ashish Gupta,333,W56,,
,,,,4,Sujala D Shetty,333,Th89,,
2574,ECOM F241,MICROPROC & INTERFACING,3 1 4,,SHAZIA HASAN,,,02.04.2025 AN,26.05.2025 AN
,,,,1,Shazia Hasan,267,T34 Th34,,
,,,,2,Jagadish Nayak,268,T89 Th12,,
,,,,3,Ananth Bhardwaj,269,M56 Th12,,
,,,,4,Ananth Bhardwaj,257,T12 W34,,
,,,,5,Jagadish Nayak,228,T23 Th78,,
,,Practical,,1,Jagadish Nayak,332,M34,,
,,,,2,Vilas H Gaidhane,332,T34,,
,,,,3,Shazia Hasan,332,T89,,
,,,,4,Adarsh Venkataraman,332,W34,,
,,,,5,Ananth Bhardwaj,332,W89,,
,,,,6,Nilesh Goel,332,Th89,,
2575,ECOM F242,CONTROL SYSTEMS,3 0 3,1,VILAS H GAIDHANE,228,T78 Th12,03.04.2025 AN,29.05.2025 AN
2576,ECOM F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M12 F45,07.04.2025 AN,28.05.2025 AN
2577,ECOM F244,MICROELECTRONIC CIRCUITS,3 0 3,1,NILESH GOEL,228,M34 W89,08.04.2025 AN,02.06.2025 AN
2583,ECOM F266,STUDY PROJECT,3,1,SUJALA D SHETTY,,,,
1023,ECON F211,PRINCIPLES OF ECONOMICS,3 0 3,1,SARTAJ RASOOL,214,M56 T9,02.04.2025 FN,30.05.2025 FN
1120,ECON F212,FUND OF FIN AND ACC,3 0 3,1,ASGAR ALI,228,M89 Th5,09.04.2025 AN,03.06.2025 AN
1443,ECON F242,MICROECONOMICS,3 0 3,1,SARTAJ RASOOL,183,T56 Th89,09.04.2025 FN,02.06.2025 FN
1447,ECON F312,MONEY BANK & FIN MARKETS,3 0 3,1,AQILA BEGUM,229,W5 Th89,07.04.2025 FN,30.05.2025 FN
1545,FIN F313,SECUR ANAL & PORTFOL MGT,3 0 3,1,ASGAR ALI,229,M5 W89,02.04.2025 FN,29.05.2025 FN
1009,EEE F111,ELECTRICAL SCIENCES,3 0 3,,NILESH GOEL,,,09.04.2025 FN,02.06.2025 FN
,,,,1,Adarsh Venkataraman,184,T45 F12,,
,,,,2,Nilesh Goel,185,T45 Th5 F1,,
,,,,3,Ashutosh Mishra,189,T45 Th1 F2,,
,,,,4,Adarsh Venkataraman,190,T1 W9 Th45,,
1238,EEE F241,MICROPROC & INTERFACING,3 1 4,,SHAZIA HASAN,,,02.04.2025 AN,26.05.2025 AN
,,,,1,Shazia Hasan,267,T34 Th34,,
,,,,2,Jagadish Nayak,268,T89 Th12,,
,,,,3,Ananth Bhardwaj,269,M56 Th12,,
,,,,4,Ananth Bhardwaj,257,T12 W34,,
,,,,5,Jagadish Nayak,228,T23 Th78,,
,,Practical,,1,Jagadish Nayak,332,M34,,
,,,,2,Vilas H Gaidhane,332,T34,,
,,,,3,Shazia Hasan,332,T89,,
,,,,4,Adarsh Venkataraman,332,W34,,
,,,,5,Ananth Bhardwaj,332,W89,,
,,,,6,Nilesh Goel,332,Th89,,
1239,EEE F242,CONTROL SYSTEMS,3 0 3,1,VILAS H GAIDHANE,228,T78 Th12,03.04.2025 AN,29.05.2025 AN
1240,EEE F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M12 F45,07.04.2025 AN,28.05.2025 AN
1241,EEE F244,MICROELECTRONIC CIRCUITS,3 0 3,1,NILESH GOEL,228,M34 W89,08.04.2025 AN,02.06.2025 AN
1657,EEE F266,STUDY PROJECT,3,1,ABDUL RAZAK,,,,
1245,EEE F341,ANALOG ELECTRONICS,3 1 4,1,VILAS H GAIDHANE,271,M12 W34,02.04.2025 AN,26.05.2025 AN
,,Practical,,1,V Kalaichelvi,304,F345,,
1246,EEE F342,POWER ELECTRONICS,3 1 4,1,SUNIL THOMAS,270,T56 F12,07.04.2025 AN,28.05.2025 AN
,,Practical,,1,Sunil Thomas,302,M789,,
1731,EEE F366,LABORATORY PROJECT,3,1,ABDUL RAZAK,,,,
