COM COD,Course ID,Course Title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,MIDSEM TEST,COMRE DATE & SESSION
2855,AN F211,FLUID MECHANICS & MACHINES,3 1 4,1,MAJID H KHAN / Shashank Khurana,228,M34 T12,28.10.2025 AN,23.12.2025 AN
,,Practical,,1,Shashank Khurana,MG1,T56,,
2420,AN F311,PRINCIPLES OF AERODYNAMICS,3,1,SONU THOMAS,207,Th56 F4,31.10.2025 FN,31.12.2025 AN
2776,AN F316,ORBITAL MECHANICS,3 0 3,1,PRIYANK UPADHYAYA,207,M89 F3,30.10.2025 FN,30.12.2025 AN
2665,AUE F231,FLUID MECHANICS AND APPLICATIONS,3 0 3,1,BRIJ KISHORE PANDEY,MG,M34 F34,30.10.2025 AN,29.12.2025 AN
2663,AUE F211,BASIC DESIGN FOR VISUALIZATION,3,1,MEGHANA S CHARDE,MG,M56 W89,27.10.2025 AN,22.12.2025 AN
2664,AUE F212,STRUCTURAL MECHANICS,3 0 3,1,AKSHAY VENKATESHWARAN,MG,T45 Th89,28.10.2025 AN,23.12.2025 AN
2694,BBA F211,FINANCIAL AND MANAGEMENT ACCOUNTING,3 0 3,1,ASGAR ALI,185,T34 W89,28.10.2025 AN,23.12.2025 AN
2859,BBA F223,OPTIMIZATION TECHNIQUES FOR BUSINESS,3,1,NAUSHEEN,185,M34 T56,27.10.2025 AN,22.12.2025 AN
2863,BIO F101,INTRODUCTION TO BIOLOGICAL SCIENCES,2 1 3,,NEERU SOOD,,,,
,,,,1,S Ramachandran,101,M7 T12,,
,,,,2,Divagar Murugan,105,M7 T1 Th7,,
,,,,3,Aditya Sharma,165,T34 Th7,,
,,,,4,TBA,184,M12 Th7,,
,,,,5,Arunkumar Palaniappan,186,T12 W7,,
,,,,6,Neeru Sood,189,T12 Th7,,
,,,,7,Debostuti Ghosh,190,T12 Th7,,
,,Practical,,1,TBA,306,M34,,
,,,,2,TBA,307,M34,,
,,,,3,TBA,306,M89,,
,,,,4,TBA,307,M89,,
,,,,5,TBA,306,T12,,
,,,,6,TBA,307,T12,,
,,,,7,TBA,306,T89,,
,,,,8,TBA,307,T89,,
,,,,9,TBA,306,W12,,
,,,,10,TBA,307,W12,,
,,,,11,TBA,306,Th34,,
,,,,12,TBA,307,Th34,,
,,,,13,TBA,306,Th89,,
,,,,14,TBA,307,Th89,,
,,,,15,TBA,306,F12,,
,,,,16,TBA,307,F12,,
,,,,17,TBA,306,F34,,
,,,,18,TBA,307,F34,,
,,,,19,Aditya Sharma,306,Th12,,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,,NEERU SOOD,,,,
,,,,1,TBA,306,M34,,
,,,,2,TBA,307,M34,,
,,,,3,TBA,306,M89,,
,,,,4,TBA,307,M89,,
,,,,5,TBA,306,T12,,
,,,,6,TBA,307,T12,,
