Course ID,Title,Short title
AN F311,Principles of Aerodynamics,Aerodynamics
AN F312,Aircraft Propulsion,Aircraft Prop
AN F313,Flight Mechanics & Control,Flight Mech
BBA F121,Business Ethic & Corp Soc Resp,Business Ethic
BIO F110,Biology Laboratory,Bio Lab
BIO F111,General Biology,Biology
BIOT F211,Biological Chemistry,Biochem
BIOT F212,Microbiology,Micro Bio
BIOT F213,Cell Biology,Cell Bio
BIOT F215,Biophysics,Biophy
BIOT F241,Genetic Engineering Tech,Genetic Engg Tech
BIOT F242,Intro to Bioinformatics,Bioinfo
BIOT F243,Genetics,
BIOT F244,Instru Methods of Analysis,
BIOT F245,Intro to Environ Biotech,Environ Biotech
BIOT F266,Study Project,Study Proj
BIOT F311,Recombinant DNA Tech,Recomb DNA
BIOT F314,Ind Microbio & Biopro Engg,
BIOT F342,Immunology,
BIOT F343,Experiments in Biotech,Expt in Biotech
BIOT F344,Downstream Processing,DP
BIOT F345,Proteomics,
BIOT F347,Immunotechnology,Immunotech
BIOT F366,Laboratory Project,Lab Proj
BIOT F367,Laboratory Project,Lab Proj
BIOT F376,Design Project,Design Proj
BIOT F377,Design Project,Design Proj
BIOT F416,Intro to Pharma Biotech,Pharma Biotech
BIOT F417,Biomolecular Modeling,
BIOT F422,Nanobiotechnology,Nanobiotech
BIOT F423,Drug Design and Delivery,Drug Design
BIOT F424,Food Biotechnology,Food Biotech
BIOT F491,Special Project,Spl Proj
BITS C791T,Teaching Practice I,TP I
BITS C797T,PhD Seminar,
BITS C799T,PhD Thesis,
BITS E661,Research Methodology I,
BITS F110,Engineering Graphics,EG
BITS F111,Thermodynamics,Thermo
BITS F112,Technical Report Writing,TRW
BITS F115,Intro to Basic Sciences,IBS
BITS F121,Introduction to Python,Intro to Python
BITS F122,Introduction to Spreadsheet Analysis,Intro to Spreadsheet
BITS F123,Introduction to Engineering,Intro to Engg
BITS F211,Inrtoduction to IPR,IPR
BITS F225,Environmental Studies,EvS
BITS F226,Soft Skills For Professionals,Soft Skills
BITS F312,Neural Net & Fuzzy Logic,NN & FL
BITS F319,Negotiation Skills And Techniques,Negotiation
BITS F327,AI in Robotics,
BITS F330,Managerial Skills,
BITS F412,Practice School II,PS II
BITS F416,Intro to Nanoscience,Nanosci
BITS F421T,Thesis,
BITS F422T,Thesis,
BITS F423T,Thesis,
BITS F441,Robotics,
BITS F441T,Seminar,
BITS F452,Blockchain Technology,Blockchain
BITS F462,Renewable Energy,
BITS F463,Cryptography,Crypto
BITS F464,Machine Learning,ML
BITS F467,Bioethics And Biosafety,Bioethics
BITS F468,New Venture Creation,NVC
BITS G540,Research Practice,
BITS G560,Practice School,
BITS G561T,Dissertation,
BITS G629T,Dissertation,
BITS G639,Practice School,
BITS G661,Research Methodology I,
CE F211,Mechanics of Solids,Mech of Solids
CE F213,Surveying,
CE F230,Civil Engineering Materials,Civil Engg Materials
CE F231,Fluid Mechanics,Fluid Mech
CE F241,Analysis of Structures,
CE F242,Construction Plan & Tech,CPT
CE F243,Soil Mechanics,Soil Mech
CE F244,Highway Engineering,Highway Engg
CE F266,Study Project,Study Proj
CE F312,Hydraulic Engineering,
CE F313,Foundation Engineering,
CE F320,Design of Reinforced Concrete Structure,Design of Reinforced CS
CE F321,Engineering Hydrology,EH
CE F342,Water & Wastewater Treat,WWT
CE F343,Design of Steel Structures,Design of Steel Struc
CE F366,Laboratory Project,Lab Proj
CE F367,Laboratory Project,Lab Proj
CE F376,Design Project,Design Proj
CE F377,Design Project,Design Proj
CE F415,Design of Prestressed Concrete Structures,Design of Prestressed CS
CE F417,App of AI in Civil Engg,AI in CEngg
CE F423,Green Build & Ener Conse,GBEC
CE F425,Airport Rail & Waterways,
CE F431,Princi of Geo Info Sys,PGIS
CE F434,Env Impact Assessment,EIA
CE F491,Special Project,Spl Proj
CHE F211,Chemical Process Calcula,Chem Calc
CHE F212,Fluid Mechanics,Fluid Mech
CHE F213,Chem Engg Thermodynamics,Chem Engg Thermo
CHE F214,Engineering Chemistry,Engg Chem
CHE F241,Heat Transfer,HT
CHE F242,Num Method for Chem Engg,
CHE F243,Material Science & Engg,Materials Sci & Engg
CHE F244,Separation Processes I,SP I
CHE F266,Study Project,Study Proj
CHE F311,Kinetics & Reactor Desig,KRD
CHE F312,Chemical Engg Lab I,Chem Engg Lab I
CHE F313,Separation Processes II,SP II
CHE F314,Process Des Principles I,PDP I
CHE F316,Sust Energy Systems,SES
CHE F341,Chemical Engg Lab II,Chem Engg Lab II
CHE F342,Process Dyn & Control,
CHE F343,Process Des Principle II,PDP II
CHE F366,Laboratory Project,Lab Proj
CHE F367,Laboratory Project,Lab Proj
CHE F376,Design Project,Design Proj
CHE F377,Design Project,Design Proj
CHE F411,Envir Pollution Control,EPC
CHE F413,Process Plant Safety,PPS
CHE F414,Transport Phenomena,TP
CHE F416,Process Plant Des Pro I,
CHE F421,Biochemical Engineering,Biochem Engg
CHE F491,Special Project,Spl Proj
CHEM F110,Chemistry Laboratory,Chem Lab
CHEM F111,General Chemistry,Chemistry
CHEM F266,Study Project,Study Proj
CHEM F366,Laboratory Project,Lab Proj
CHEM F367,Laboratory Project,Lab Proj
CHEM F376,Design Project,Design Proj
CHEM F377,Design Project,Design Proj
CHEM F491,Special Project,Spl Proj
CS F111,Computer Programming,CP
CS F211,Data Structures & Algo,DSA
CS F212,Database Systems,DBMS
CS F213,Object Oriented Prog,OOP
CS F214,Logic in Computer Sc,Logic
CS F215,Digital Design,DD
CS F222,Discr Struc For Comp Sci,DS
CS F241,Microproc & Interfacing,MPI
CS F266,Study Project,Study Proj
CS F301,Principles of Progg Lang,PoPL
CS F303,Computer Networks,Comp Networks
CS F316,Quantum Architecture and Programming,QAP
